identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
2017584,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017585,M,IVOIRIENNE,C,BIEN,NON,1,15.0,2017
2017586,F,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017587,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
2017588,F,IVOIRIENNE,D,PASSABLE,NON,2,21.0,2017
2017589,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,5,25.0,2017
2017591,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
2017592,M,IVOIRIENNE,F2,ASSEZ-BIEN,NON,5,24.0,2017
2017593,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,7,21.0,2017
2017594,F,IVOIRIENNE,D,PASSABLE,NON,24,24.0,2017
2017595,M,IVOIRIENNE,A1,ASSEZ-BIEN,NON,1,19.0,2017
2017596,M,IVOIRIENNE,C,PASSABLE,NON,11,22.0,2017
2017597,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
2017598,F,IVOIRIENNE,C,PASSABLE,NON,31,21.0,2017
2017599,F,IVOIRIENNE,D,PASSABLE,NON,6,20.0,2017
2017600,M,IVOIRIENNE,A1,ASSEZ-BIEN,NON,3,21.0,2017
2017601,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,7,21.0,2017
2017602,F,IVOIRIENNE,A2,ASSEZ-BIEN,NON,11,21.0,2017
2017603,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,8,24.0,2017
2017604,F,IVOIRIENNE,A2,PASSABLE,NON,1,21.0,2017
2017605,F,IVOIRIENNE,D,PASSABLE,OUI,5,22.0,2017
2017606,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
2017607,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,20.0,2017
2017608,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,21.0,2017
2017609,F,IVOIRIENNE,C,BIEN,NON,11,22.0,2017
2017610,M,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
2017611,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,4,25.0,2017
2017612,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,21.0,2017
2017613,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
2017614,M,IVOIRIENNE,C,ASSEZ-BIEN,OUI,2,22.0,2017
2017615,M,IVOIRIENNE,F2,PASSABLE,NON,2,23.0,2017
2017616,M,IVOIRIENNE,G2,PASSABLE,NON,6,23.0,2017
2017618,M,IVOIRIENNE,A1,PASSABLE,NON,6,21.0,2017
2017619,F,IVOIRIENNE,E,PASSABLE,OUI,4,22.0,2017
2017620,F,IVOIRIENNE,D,PASSABLE,NON,15,21.0,2017
2017621,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,32,23.0,2017
2017622,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,8,21.0,2017
2017623,M,IVOIRIENNE,D,PASSABLE,NON,1,21.0,2017
2017624,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,25.0,2017
2017625,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2017
2017626,M,IVOIRIENNE,C,PASSABLE,NON,27,21.0,2017
2017627,M,IVOIRIENNE,D,PASSABLE,NON,4,23.0,2017
2017628,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,12,20.0,2017
2017629,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,10,20.0,2017
2017630,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017631,M,IVOIRIENNE,F2,PASSABLE,NON,6,22.0,2017
2017632,F,IVOIRIENNE,A2,ASSEZ-BIEN,NON,3,22.0,2017
2017633,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,27.0,2017
2017634,M,IVOIRIENNE,F3,PASSABLE,NON,2,22.0,2017
2017635,F,IVOIRIENNE,C,PASSABLE,NON,11,22.0,2017
2017636,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,6,22.0,2017
2017637,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017638,F,BENINOISE,D,BIEN,NON,3,20.0,2017
2017639,M,IVOIRIENNE,F1,PASSABLE,OUI,6,26.0,2017
2017640,M,IVOIRIENNE,A2,PASSABLE,NON,1,21.0,2017
2017641,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,22.0,2017
2017642,F,IVOIRIENNE,F1,PASSABLE,OUI,10,25.0,2017
2017643,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,19.0,2017
2017644,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,22.0,2017
2017645,M,IVOIRIENNE,A2,PASSABLE,NON,11,21.0,2017
2017646,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,29,22.0,2017
2017647,F,IVOIRIENNE,A2,PASSABLE,NON,13,19.0,2017
2017648,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017649,M,IVOIRIENNE,G2,PASSABLE,NON,9,24.0,2017
2017650,F,IVOIRIENNE,C,PASSABLE,NON,15,21.0,2017
2017651,M,IVOIRIENNE,D,PASSABLE,NON,16,20.0,2017
2017652,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,9,21.0,2017
2017653,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,11,22.0,2017
2017654,M,IVOIRIENNE,D,BIEN,NON,4,23.0,2017
2017655,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,9,21.0,2017
2017656,M,IVOIRIENNE,C,PASSABLE,NON,9,25.0,2017
2017657,F,IVOIRIENNE,B,PASSABLE,NON,8,24.0,2017
2017658,F,IVOIRIENNE,C,PASSABLE,NON,17,22.0,2017
2017659,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017660,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,15.0,2017
2017661,F,IVOIRIENNE,D,ASSEZ-BIEN,OUI,9,22.0,2017
2017663,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,6,24.0,2017
2017664,M,IVOIRIENNE,C,PASSABLE,NON,1,22.0,2017
2017665,F,IVOIRIENNE,C,PASSABLE,NON,5,21.0,2017
2017666,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,8,23.0,2017
2017667,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,22.0,2017
2017668,M,IVOIRIENNE,D,PASSABLE,NON,11,22.0,2017
2017669,F,IVOIRIENNE,D,PASSABLE,OUI,6,23.0,2017
2017670,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,21.0,2017
2017671,F,IVOIRIENNE,D,PASSABLE,NON,37,20.0,2017
2017672,M,IVOIRIENNE,D,BIEN,NON,2,23.0,2017
2017673,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017674,M,IVOIRIENNE,F4,PASSABLE,NON,5,20.0,2017
2017675,F,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
2017676,M,IVOIRIENNE,A2,ASSEZ-BIEN,NON,8,22.0,2017
2017677,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,15,23.0,2017
2017678,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,2,23.0,2017
2017679,M,IVOIRIENNE,BT CHANTIER GROS OEUVRE,PASSABLE,NON,16,27.0,2017
2017680,M,IVOIRIENNE,C,PASSABLE,NON,13,23.0,2017
2017681,M,IVOIRIENNE,C,PASSABLE,NON,12,20.0,2017
2017682,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,20.0,2017
2017683,M,IVOIRIENNE,C,PASSABLE,NON,2,23.0,2017
2017684,M,IVOIRIENNE,F3,PASSABLE,NON,19,25.0,2017
2017685,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
2017686,F,IVOIRIENNE,D,BIEN,NON,13,21.0,2017
2017687,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,1,23.0,2017
2017688,M,IVOIRIENNE,C,PASSABLE,NON,3,22.0,2017
2017689,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,21.0,2017
2017690,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,20,22.0,2017
2017691,M,IVOIRIENNE,C,PASSABLE,NON,1,23.0,2017
2017692,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017693,F,IVOIRIENNE,D,PASSABLE,NON,6,21.0,2017
2017694,F,IVOIRIENNE,F4,PASSABLE,NON,8,21.0,2017
2017695,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,8,20.0,2017
2017696,M,IVOIRIENNE,D,TRES BIEN,NON,1,28.0,2017
2017697,M,IVOIRIENNE,D,PASSABLE,NON,4,21.0,2017
2017698,F,IVOIRIENNE,D,PASSABLE,NON,6,21.0,2017
2017699,M,IVOIRIENNE,D,PASSABLE,NON,11,24.0,2017
2017700,M,IVOIRIENNE,F1,ASSEZ-BIEN,NON,1,25.0,2017
2017701,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,3,22.0,2017
2017702,M,IVOIRIENNE,C,PASSABLE,NON,16,20.0,2017
2017703,F,IVOIRIENNE,D,PASSABLE,NON,3,22.0,2017
2017704,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,23.0,2017
2017705,M,IVOIRIENNE,E,PASSABLE,NON,12,21.0,2017
2017706,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,9,21.0,2017
2017707,M,IVOIRIENNE,D,BIEN,NON,1,24.0,2017
2017708,M,IVOIRIENNE,E,BIEN,NON,1,22.0,2017
2017709,M,IVOIRIENNE,C,BIEN,NON,13,21.0,2017
2017710,M,IVOIRIENNE,C,PASSABLE,NON,11,25.0,2017
2017711,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,9,20.0,2017
2017712,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
2017713,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,20.0,2017
2017714,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017715,M,CAMEROUNAISE,C,PASSABLE,NON,5,22.0,2017
2017716,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,13,25.0,2017
2017717,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017718,F,IVOIRIENNE,A1,ASSEZ-BIEN,NON,1,22.0,2017
2017719,M,IVOIRIENNE,D,PASSABLE,NON,14,21.0,2017
2017720,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,10,22.0,2017
2017721,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
2017722,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,18,22.0,2017
2017723,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,7,21.0,2017
2017724,M,IVOIRIENNE,D,PASSABLE,NON,4,25.0,2017
2017725,M,IVOIRIENNE,D,PASSABLE,NON,6,20.0,2017
2017726,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,10,26.0,2017
2017727,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,16,22.0,2017
2017728,M,IVOIRIENNE,A2,PASSABLE,NON,4,21.0,2017
2017729,M,IVOIRIENNE,D,PASSABLE,NON,8,22.0,2017
2017730,M,IVOIRIENNE,C,PASSABLE,NON,4,21.0,2017
2017731,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,29,19.0,2017
2017732,M,IVOIRIENNE,C,PASSABLE,NON,2,22.0,2017
2017733,F,IVOIRIENNE,D,PASSABLE,OUI,2,22.0,2017
2017734,M,IVOIRIENNE,D,PASSABLE,NON,10,20.0,2017
2017735,M,IVOIRIENNE,C,BIEN,NON,1,24.0,2017
2017736,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
2017737,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,24.0,2017
2017738,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,15.0,2017
2017739,M,IVOIRIENNE,C,PASSABLE,NON,2,23.0,2017
2017740,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,21.0,2017
2017741,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,20,21.0,2017
2017742,M,IVOIRIENNE,C,PASSABLE,OUI,6,22.0,2017
2017743,M,GUINEENNE,D,ASSEZ-BIEN,NON,13,24.0,2017
2017744,M,IVOIRIENNE,C,PASSABLE,OUI,3,24.0,2017
2017745,F,IVOIRIENNE,D,PASSABLE,NON,4,20.0,2017
2017746,M,IVOIRIENNE,G2,PASSABLE,NON,13,21.0,2017
2017747,F,IVOIRIENNE,A2,PASSABLE,NON,1,21.0,2017
2017749,M,IVOIRIENNE,D,PASSABLE,NON,5,21.0,2017
2017750,M,IVOIRIENNE,C,PASSABLE,NON,8,24.0,2017
2017751,M,IVOIRIENNE,C,TRES BIEN,NON,1,21.0,2017
2017752,F,IVOIRIENNE,D,PASSABLE,OUI,2,25.0,2017
2017753,F,IVOIRIENNE,F3,PASSABLE,NON,19,22.0,2017
2017754,M,IVOIRIENNE,D,PASSABLE,NON,4,22.0,2017
2017755,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,21.0,2017
2017756,F,IVOIRIENNE,A2,PASSABLE,NON,21,24.0,2017
2017757,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,2,24.0,2017
2017758,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,20.0,2017
2017759,M,IVOIRIENNE,D,PASSABLE,NON,3,20.0,2017
2017760,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,14,24.0,2017
2017761,M,IVOIRIENNE,C,PASSABLE,NON,7,20.0,2017
2017762,F,IVOIRIENNE,G2,PASSABLE,NON,15,20.0,2017
2017763,F,IVOIRIENNE,C,PASSABLE,NON,2,21.0,2017
2017764,M,IVOIRIENNE,D,PASSABLE,NON,29,24.0,2017
2017765,M,IVOIRIENNE,D,PASSABLE,OUI,19,23.0,2017
2017766,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,23.0,2017
2017767,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,21.0,2017
2017768,M,IVOIRIENNE,C,PASSABLE,NON,11,24.0,2017
2017769,F,IVOIRIENNE,A1,BIEN,NON,6,22.0,2017
2017770,M,IVOIRIENNE,D,PASSABLE,NON,2,21.0,2017
2017771,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2017
2017772,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,23.0,2017
2017773,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,9,22.0,2017
2017774,M,IVOIRIENNE,G2,BIEN,NON,1,24.0,2017
2017775,M,IVOIRIENNE,D,PASSABLE,NON,5,21.0,2017
2017776,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,20.0,2017
2017777,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,9,21.0,2017
2017778,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,23.0,2017
2017779,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,6,23.0,2017
2017780,M,IVOIRIENNE,D,PASSABLE,NON,7,21.0,2017
2017781,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,20.0,2017
2017782,F,IVOIRIENNE,D,PASSABLE,NON,7,20.0,2017
2017783,M,IVOIRIENNE,G2,ASSEZ-BIEN,NON,7,22.0,2017
2017784,M,IVOIRIENNE,D,BIEN,NON,2,22.0,2017
2017785,M,IVOIRIENNE,S,PASSABLE,NON,6,21.0,2017
2017787,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
2017788,F,IVOIRIENNE,A2,ASSEZ-BIEN,NON,1,21.0,2017
2017789,M,IVOIRIENNE,C,PASSABLE,NON,3,22.0,2017
2017790,M,IVOIRIENNE,C,PASSABLE,NON,15,19.0,2017
2017791,M,IVOIRIENNE,A1,BIEN,NON,1,22.0,2017
2017792,F,IVOIRIENNE,G2,PASSABLE,OUI,1,28.0,2017
2017793,M,IVOIRIENNE,A2,PASSABLE,NON,15,22.0,2017
2017794,M,IVOIRIENNE,F3,PASSABLE,NON,1,22.0,2017
2017795,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,21.0,2017
2017796,M,BENINOISE,C,BIEN,NON,11,21.0,2017
2017797,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,21,21.0,2017
2017798,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
2017799,F,CONGOLAISE(RDC),A2,ASSEZ-BIEN,NON,7,22.0,2017
2017800,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,4,20.0,2017
2017801,M,IVOIRIENNE,C,PASSABLE,OUI,1,23.0,2017
2017802,M,IVOIRIENNE,D,PASSABLE,NON,9,20.0,2017
2017803,F,IVOIRIENNE,D,BIEN,NON,4,20.0,2017
2017804,F,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
2017805,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,19.0,2017
2017806,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,25.0,2017
2017807,M,IVOIRIENNE,F1,PASSABLE,NON,10,24.0,2017
2017808,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,3,26.0,2017
2017809,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,14,21.0,2017
2017810,M,IVOIRIENNE,C,ASSEZ-BIEN,OUI,1,23.0,2017
2017811,F,IVOIRIENNE,C,PASSABLE,NON,5,22.0,2017
2017812,M,IVOIRIENNE,C,PASSABLE,NON,3,,2017
2017813,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,15,21.0,2017
2017814,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,18,21.0,2017
2017815,M,IVOIRIENNE,C,PASSABLE,NON,8,22.0,2017
2017816,F,IVOIRIENNE,C,PASSABLE,NON,1,22.0,2017
2017820,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,31,22.0,2017
2017821,F,IVOIRIENNE,G2,ASSEZ-BIEN,NON,1,20.0,2017
2017822,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,22.0,2017
2017823,M,IVOIRIENNE,C,PASSABLE,NON,7,22.0,2017
2017824,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,23,21.0,2017
2017825,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,23.0,2017
2017826,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,10,21.0,2017
2017827,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,25,21.0,2017
2017828,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,5,22.0,2017
2017830,F,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,21.0,2017
2017831,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,23.0,2017
2017832,M,IVOIRIENNE,D,PASSABLE,NON,39,23.0,2017
2017833,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
2017834,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,21.0,2017
2017835,M,IVOIRIENNE,D,BIEN,NON,1,19.0,2017
2017836,F,IVOIRIENNE,D,PASSABLE,NON,1,22.0,2017
2017837,M,IVOIRIENNE,G2,PASSABLE,NON,15,22.0,2017
2017838,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
2017839,F,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,22.0,2017
2017840,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,3,23.0,2017
2017841,M,IVOIRIENNE,F2,PASSABLE,NON,3,23.0,2017
2017842,M,IVOIRIENNE,D,PASSABLE,NON,3,21.0,2017
2017843,M,IVOIRIENNE,D,BIEN,NON,3,21.0,2017
2017844,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2017
2017845,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
2017846,M,IVOIRIENNE,C,PASSABLE,NON,9,22.0,2017
2017847,F,IVOIRIENNE,D,PASSABLE,NON,28,21.0,2017
2017848,M,IVOIRIENNE,D,PASSABLE,NON,6,21.0,2017
2017849,F,IVOIRIENNE,D,PASSABLE,OUI,2,25.0,2017
2017850,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,17,19.0,2017
2017851,M,IVOIRIENNE,D,PASSABLE,NON,9,23.0,2017
2017852,M,IVOIRIENNE,A1,ASSEZ-BIEN,NON,4,24.0,2017
2017853,M,IVOIRIENNE,C,PASSABLE,NON,2,21.0,2017
2017854,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,22.0,2017
2017855,F,IVOIRIENNE,D,PASSABLE,NON,32,21.0,2017
2017856,M,IVOIRIENNE,D,PASSABLE,NON,2,22.0,2017
2017858,F,IVOIRIENNE,C,PASSABLE,NON,2,20.0,2017
2017859,M,IVOIRIENNE,C,PASSABLE,OUI,3,24.0,2017
